uf,tipo_doenca,local_obito,faixa_etaria,sexo,total
SP,SEPTICEMIA,HOSPITAL,"30 - 39",M,545
SP,SEPTICEMIA,IGNORADO,"30 - 39",F,1
SP,SEPTICEMIA,IGNORADO,"30 - 39",M,2
SP,SEPTICEMIA,OUTRO,"30 - 39",F,7
SP,SEPTICEMIA,OUTRO,"30 - 39",M,6
SP,SEPTICEMIA,OUTROS_SERVICOS_SAUDE,"30 - 39",F,6
SP,SEPTICEMIA,OUTROS_SERVICOS_SAUDE,"30 - 39",M,24
SP,SEPTICEMIA,POSTO_SAUDE,"30 - 39",M,2
SP,SEPTICEMIA,VIA_PUBLICA,"30 - 39",M,2
SP,SRAG,DOMICILIO,"30 - 39",M,2
SP,SRAG,HOSPITAL,"30 - 39",F,25
SP,SRAG,HOSPITAL,"30 - 39",M,27
SP,SRAG,OUTRO,"30 - 39",M,1
SP,SRAG,OUTROS_SERVICOS_SAUDE,"30 - 39",F,3
SP,SRAG,OUTROS_SERVICOS_SAUDE,"30 - 39",M,3
TO,OUTRAS,DOMICILIO,"30 - 39",F,12
TO,OUTRAS,DOMICILIO,"30 - 39",M,25
TO,OUTRAS,HOSPITAL,"30 - 39",F,26
TO,OUTRAS,HOSPITAL,"30 - 39",M,47
TO,OUTRAS,OUTRO,"30 - 39",M,13
TO,OUTRAS,OUTROS_SERVICOS_SAUDE,"30 - 39",M,1
TO,OUTRAS,VIA_PUBLICA,"30 - 39",F,5
TO,OUTRAS,VIA_PUBLICA,"30 - 39",M,25
TO,COVID,DOMICILIO,"30 - 39",F,2
TO,COVID,DOMICILIO,"30 - 39",M,2
TO,COVID,HOSPITAL,"30 - 39",F,48
TO,COVID,HOSPITAL,"30 - 39",M,53
TO,COVID,OUTRO,"30 - 39",F,1
TO,COVID,OUTRO,"30 - 39",M,1
TO,COVID,OUTROS_SERVICOS_SAUDE,"30 - 39",F,2
TO,INDETERMINADA,DOMICILIO,"30 - 39",M,1
TO,INDETERMINADA,OUTRO,"30 - 39",F,1
TO,INDETERMINADA,OUTRO,"30 - 39",M,2
TO,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"30 - 39",F,1
TO,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"30 - 39",M,1
TO,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"30 - 39",F,3
TO,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"30 - 39",M,9
TO,PNEUMONIA,HOSPITAL,"30 - 39",F,11
TO,PNEUMONIA,HOSPITAL,"30 - 39",M,14
TO,SEPTICEMIA,HOSPITAL,"30 - 39",F,12
TO,SEPTICEMIA,HOSPITAL,"30 - 39",M,9
TO,SRAG,HOSPITAL,"30 - 39",F,2
TO,SRAG,HOSPITAL,"30 - 39",M,1
AC,OUTRAS,DOMICILIO,"40 - 49",F,21
AC,OUTRAS,DOMICILIO,"40 - 49",M,39
AC,OUTRAS,HOSPITAL,"40 - 49",F,41
AC,OUTRAS,HOSPITAL,"40 - 49",M,42
AC,OUTRAS,OUTRO,"40 - 49",F,7
AC,OUTRAS,OUTRO,"40 - 49",M,17
AC,OUTRAS,OUTROS_SERVICOS_SAUDE,"40 - 49",M,1
AC,OUTRAS,VIA_PUBLICA,"40 - 49",F,4
AC,OUTRAS,VIA_PUBLICA,"40 - 49",M,11
AC,COVID,DOMICILIO,"40 - 49",M,3
AC,COVID,HOSPITAL,"40 - 49",F,60
AC,COVID,HOSPITAL,"40 - 49",M,88
AC,COVID,OUTRO,"40 - 49",M,1
AC,COVID,OUTROS_SERVICOS_SAUDE,"40 - 49",M,2
AC,COVID,VIA_PUBLICA,"40 - 49",F,1
AC,INDETERMINADA,DOMICILIO,"40 - 49",F,2
AC,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"40 - 49",F,2
AC,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"40 - 49",F,10
AC,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"40 - 49",M,8
AC,INSUFICIENCIA_RESPIRATORIA,OUTRO,"40 - 49",M,2
AC,PNEUMONIA,HOSPITAL,"40 - 49",F,18
AC,PNEUMONIA,HOSPITAL,"40 - 49",M,35
AC,SEPTICEMIA,DOMICILIO,"40 - 49",F,1
AC,SEPTICEMIA,DOMICILIO,"40 - 49",M,1
AC,SEPTICEMIA,HOSPITAL,"40 - 49",F,15
AC,SEPTICEMIA,HOSPITAL,"40 - 49",M,21
AC,SRAG,HOSPITAL,"40 - 49",F,3
AC,SRAG,HOSPITAL,"40 - 49",M,6
AL,OUTRAS,DOMICILIO,"40 - 49",F,73
AL,OUTRAS,DOMICILIO,"40 - 49",M,181
AL,OUTRAS,HOSPITAL,"40 - 49",F,173
AL,OUTRAS,HOSPITAL,"40 - 49",M,240
AL,OUTRAS,IGNORADO,"40 - 49",M,2
AL,OUTRAS,OUTRO,"40 - 49",F,9
AL,OUTRAS,OUTRO,"40 - 49",M,28
AL,OUTRAS,OUTROS_SERVICOS_SAUDE,"40 - 49",F,16
AL,OUTRAS,OUTROS_SERVICOS_SAUDE,"40 - 49",M,19
AL,OUTRAS,VIA_PUBLICA,"40 - 49",F,11
AL,OUTRAS,VIA_PUBLICA,"40 - 49",M,71
AL,COVID,DOMICILIO,"40 - 49",F,4
AL,COVID,DOMICILIO,"40 - 49",M,1
AL,COVID,HOSPITAL,"40 - 49",F,147
AL,COVID,HOSPITAL,"40 - 49",M,218
AL,COVID,OUTROS_SERVICOS_SAUDE,"40 - 49",F,3
AL,COVID,OUTROS_SERVICOS_SAUDE,"40 - 49",M,3
AL,COVID,VIA_PUBLICA,"40 - 49",M,1
AL,INDETERMINADA,DOMICILIO,"40 - 49",M,4
AL,INDETERMINADA,HOSPITAL,"40 - 49",F,2
AL,INDETERMINADA,HOSPITAL,"40 - 49",M,4
AL,INDETERMINADA,OUTRO,"40 - 49",M,1
AL,INDETERMINADA,OUTROS_SERVICOS_SAUDE,"40 - 49",F,1
AL,INDETERMINADA,VIA_PUBLICA,"40 - 49",M,1
AL,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"40 - 49",F,10
AL,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"40 - 49",M,7
AL,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"40 - 49",F,27
AL,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"40 - 49",M,40
AL,INSUFICIENCIA_RESPIRATORIA,OUTRO,"40 - 49",M,1
AL,INSUFICIENCIA_RESPIRATORIA,OUTROS_SERVICOS_SAUDE,"40 - 49",F,4
AL,INSUFICIENCIA_RESPIRATORIA,OUTROS_SERVICOS_SAUDE,"40 - 49",M,4
AL,PNEUMONIA,DOMICILIO,"40 - 49",F,2
AL,PNEUMONIA,DOMICILIO,"40 - 49",M,2
AL,PNEUMONIA,HOSPITAL,"40 - 49",F,33
AL,PNEUMONIA,HOSPITAL,"40 - 49",M,55
AL,PNEUMONIA,OUTROS_SERVICOS_SAUDE,"40 - 49",F,1
AL,PNEUMONIA,OUTROS_SERVICOS_SAUDE,"40 - 49",M,3
AL,PNEUMONIA,VIA_PUBLICA,"40 - 49",F,1
AL,SEPTICEMIA,DOMICILIO,"40 - 49",F,2
AL,SEPTICEMIA,DOMICILIO,"40 - 49",M,2
AL,SEPTICEMIA,HOSPITAL,"40 - 49",F,56
AL,SEPTICEMIA,HOSPITAL,"40 - 49",M,69
AL,SEPTICEMIA,OUTROS_SERVICOS_SAUDE,"40 - 49",F,2
AL,SEPTICEMIA,OUTROS_SERVICOS_SAUDE,"40 - 49",M,1
AL,SEPTICEMIA,VIA_PUBLICA,"40 - 49",M,1
AL,SRAG,DOMICILIO,"40 - 49",F,1
AL,SRAG,DOMICILIO,"40 - 49",M,1
AL,SRAG,HOSPITAL,"40 - 49",F,6
AL,SRAG,HOSPITAL,"40 - 49",M,13
AL,SRAG,OUTRO,"40 - 49",M,1
AM,OUTRAS,DOMICILIO,"40 - 49",F,81
AM,OUTRAS,DOMICILIO,"40 - 49",M,121
AM,OUTRAS,HOSPITAL,"40 - 49",F,191
AM,OUTRAS,HOSPITAL,"40 - 49",M,224
AM,OUTRAS,IGNORADO,"40 - 49",I,1
AM,OUTRAS,IGNORADO,"40 - 49",M,2
AM,OUTRAS,OUTRO,"40 - 49",F,26
AM,OUTRAS,OUTRO,"40 - 49",M,59
AM,OUTRAS,OUTROS_SERVICOS_SAUDE,"40 - 49",F,2
AM,OUTRAS,OUTROS_SERVICOS_SAUDE,"40 - 49",M,5
AM,OUTRAS,VIA_PUBLICA,"40 - 49",F,4
AM,OUTRAS,VIA_PUBLICA,"40 - 49",M,58
AM,COVID,DOMICILIO,"40 - 49",F,6
AM,COVID,DOMICILIO,"40 - 49",M,12
AM,COVID,HOSPITAL,"40 - 49",F,283
AM,COVID,HOSPITAL,"40 - 49",M,393
AM,COVID,OUTRO,"40 - 49",F,20
AM,COVID,OUTRO,"40 - 49",M,21
AM,COVID,OUTROS_SERVICOS_SAUDE,"40 - 49",F,3
AM,COVID,OUTROS_SERVICOS_SAUDE,"40 - 49",M,4
AM,COVID,POSTO_SAUDE,"40 - 49",M,1
AM,INDETERMINADA,DOMICILIO,"40 - 49",F,1
AM,INDETERMINADA,DOMICILIO,"40 - 49",M,6
AM,INDETERMINADA,HOSPITAL,"40 - 49",F,1
AM,INDETERMINADA,HOSPITAL,"40 - 49",M,2
AM,INDETERMINADA,OUTRO,"40 - 49",F,1
AM,INDETERMINADA,OUTRO,"40 - 49",M,2
AM,INDETERMINADA,OUTROS_SERVICOS_SAUDE,"40 - 49",M,1
AM,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"40 - 49",F,6
AM,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"40 - 49",M,5
AM,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"40 - 49",F,23
AM,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"40 - 49",M,25
AM,INSUFICIENCIA_RESPIRATORIA,OUTRO,"40 - 49",F,3
AM,INSUFICIENCIA_RESPIRATORIA,OUTRO,"40 - 49",M,8
AM,INSUFICIENCIA_RESPIRATORIA,VIA_PUBLICA,"40 - 49",M,2
AM,PNEUMONIA,DOMICILIO,"40 - 49",M,1
AM,PNEUMONIA,HOSPITAL,"40 - 49",F,48
AM,PNEUMONIA,HOSPITAL,"40 - 49",M,62
AM,PNEUMONIA,OUTRO,"40 - 49",F,10
AM,PNEUMONIA,OUTRO,"40 - 49",M,4
AM,SEPTICEMIA,DOMICILIO,"40 - 49",M,4
AM,SEPTICEMIA,HOSPITAL,"40 - 49",F,85
AM,SEPTICEMIA,HOSPITAL,"40 - 49",M,92
AM,SEPTICEMIA,OUTRO,"40 - 49",F,2
AM,SEPTICEMIA,OUTRO,"40 - 49",M,4
AM,SEPTICEMIA,OUTROS_SERVICOS_SAUDE,"40 - 49",F,1
AM,SRAG,DOMICILIO,"40 - 49",F,3
AM,SRAG,DOMICILIO,"40 - 49",M,2
AM,SRAG,HOSPITAL,"40 - 49",F,38
AM,SRAG,HOSPITAL,"40 - 49",M,46
AM,SRAG,OUTRO,"40 - 49",F,1
AM,SRAG,OUTRO,"40 - 49",M,1
AM,SRAG,OUTROS_SERVICOS_SAUDE,"40 - 49",M,1
AP,OUTRAS,DOMICILIO,"40 - 49",F,9
AP,OUTRAS,DOMICILIO,"40 - 49",M,18
AP,OUTRAS,HOSPITAL,"40 - 49",F,31
AP,OUTRAS,HOSPITAL,"40 - 49",M,40
AP,OUTRAS,IGNORADO,"40 - 49",M,2
AP,OUTRAS,OUTRO,"40 - 49",F,2
AP,OUTRAS,OUTRO,"40 - 49",M,7
AP,OUTRAS,VIA_PUBLICA,"40 - 49",F,1
AP,OUTRAS,VIA_PUBLICA,"40 - 49",M,5
AP,COVID,DOMICILIO,"40 - 49",M,1
AP,COVID,HOSPITAL,"40 - 49",F,34
AP,COVID,HOSPITAL,"40 - 49",M,74
AP,COVID,OUTROS_SERVICOS_SAUDE,"40 - 49",F,5
AP,COVID,OUTROS_SERVICOS_SAUDE,"40 - 49",M,6
AP,COVID,POSTO_SAUDE,"40 - 49",M,2
AP,INDETERMINADA,DOMICILIO,"40 - 49",M,2
AP,INDETERMINADA,HOSPITAL,"40 - 49",M,2
AP,INDETERMINADA,OUTRO,"40 - 49",M,1
AP,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"40 - 49",F,1
AP,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"40 - 49",F,6
AP,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"40 - 49",M,9
AP,INSUFICIENCIA_RESPIRATORIA,IGNORADO,"40 - 49",M,1
AP,INSUFICIENCIA_RESPIRATORIA,OUTRO,"40 - 49",M,1
AP,INSUFICIENCIA_RESPIRATORIA,OUTROS_SERVICOS_SAUDE,"40 - 49",F,1
AP,PNEUMONIA,HOSPITAL,"40 - 49",F,11
AP,PNEUMONIA,HOSPITAL,"40 - 49",M,7
AP,SEPTICEMIA,HOSPITAL,"40 - 49",F,13
AP,SEPTICEMIA,HOSPITAL,"40 - 49",M,19
AP,SRAG,HOSPITAL,"40 - 49",F,1
BA,OUTRAS,DOMICILIO,"40 - 49",F,386
BA,OUTRAS,DOMICILIO,"40 - 49",M,809
BA,OUTRAS,HOSPITAL,"40 - 49",F,810
BA,OUTRAS,HOSPITAL,"40 - 49",M,1026
BA,OUTRAS,IGNORADO,"40 - 49",F,5
BA,OUTRAS,IGNORADO,"40 - 49",M,21
BA,OUTRAS,OUTRO,"40 - 49",F,45
BA,OUTRAS,OUTRO,"40 - 49",M,144
BA,OUTRAS,OUTROS_SERVICOS_SAUDE,"40 - 49",F,105
BA,OUTRAS,OUTROS_SERVICOS_SAUDE,"40 - 49",M,150
BA,OUTRAS,VIA_PUBLICA,"40 - 49",F,35
BA,OUTRAS,VIA_PUBLICA,"40 - 49",M,143
BA,COVID,DOMICILIO,"40 - 49",F,9
BA,COVID,DOMICILIO,"40 - 49",M,19
BA,COVID,HOSPITAL,"40 - 49",F,619
BA,COVID,HOSPITAL,"40 - 49",M,924
BA,COVID,IGNORADO,"40 - 49",F,4
BA,COVID,IGNORADO,"40 - 49",M,5
BA,COVID,OUTRO,"40 - 49",F,10
BA,COVID,OUTRO,"40 - 49",M,7
BA,COVID,OUTROS_SERVICOS_SAUDE,"40 - 49",F,41
BA,COVID,OUTROS_SERVICOS_SAUDE,"40 - 49",M,50
BA,COVID,VIA_PUBLICA,"40 - 49",F,1
BA,COVID,VIA_PUBLICA,"40 - 49",M,5
BA,INDETERMINADA,DOMICILIO,"40 - 49",F,4
BA,INDETERMINADA,DOMICILIO,"40 - 49",M,5
BA,INDETERMINADA,HOSPITAL,"40 - 49",F,2
BA,INDETERMINADA,HOSPITAL,"40 - 49",M,6
BA,INDETERMINADA,IGNORADO,"40 - 49",M,1
BA,INDETERMINADA,OUTRO,"40 - 49",M,3
BA,INDETERMINADA,OUTROS_SERVICOS_SAUDE,"40 - 49",F,1
BA,INDETERMINADA,OUTROS_SERVICOS_SAUDE,"40 - 49",M,1
BA,INDETERMINADA,VIA_PUBLICA,"40 - 49",F,1
BA,INDETERMINADA,VIA_PUBLICA,"40 - 49",M,1
BA,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"40 - 49",F,17
BA,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"40 - 49",M,29
BA,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"40 - 49",F,145
BA,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"40 - 49",M,190
BA,INSUFICIENCIA_RESPIRATORIA,IGNORADO,"40 - 49",M,1
BA,INSUFICIENCIA_RESPIRATORIA,OUTRO,"40 - 49",F,1
BA,INSUFICIENCIA_RESPIRATORIA,OUTRO,"40 - 49",M,3
BA,INSUFICIENCIA_RESPIRATORIA,OUTROS_SERVICOS_SAUDE,"40 - 49",F,18
BA,INSUFICIENCIA_RESPIRATORIA,OUTROS_SERVICOS_SAUDE,"40 - 49",M,25
BA,INSUFICIENCIA_RESPIRATORIA,VIA_PUBLICA,"40 - 49",M,2
BA,PNEUMONIA,DOMICILIO,"40 - 49",F,1
BA,PNEUMONIA,DOMICILIO,"40 - 49",M,8
BA,PNEUMONIA,HOSPITAL,"40 - 49",F,107
BA,PNEUMONIA,HOSPITAL,"40 - 49",M,174
BA,PNEUMONIA,IGNORADO,"40 - 49",M,1
BA,PNEUMONIA,OUTRO,"40 - 49",F,1
BA,PNEUMONIA,OUTRO,"40 - 49",M,7
BA,PNEUMONIA,OUTROS_SERVICOS_SAUDE,"40 - 49",F,7
BA,PNEUMONIA,OUTROS_SERVICOS_SAUDE,"40 - 49",M,9
BA,PNEUMONIA,VIA_PUBLICA,"40 - 49",M,1
BA,SEPTICEMIA,DOMICILIO,"40 - 49",F,5
BA,SEPTICEMIA,DOMICILIO,"40 - 49",M,6
BA,SEPTICEMIA,HOSPITAL,"40 - 49",F,235
BA,SEPTICEMIA,HOSPITAL,"40 - 49",M,299
BA,SEPTICEMIA,IGNORADO,"40 - 49",F,1
BA,SEPTICEMIA,IGNORADO,"40 - 49",M,1
BA,SEPTICEMIA,OUTRO,"40 - 49",F,3
BA,SEPTICEMIA,OUTRO,"40 - 49",M,7
BA,SEPTICEMIA,OUTROS_SERVICOS_SAUDE,"40 - 49",F,18
BA,SEPTICEMIA,OUTROS_SERVICOS_SAUDE,"40 - 49",M,29
BA,SRAG,HOSPITAL,"40 - 49",F,11
BA,SRAG,HOSPITAL,"40 - 49",M,21
BA,SRAG,OUTROS_SERVICOS_SAUDE,"40 - 49",F,1
BA,SRAG,OUTROS_SERVICOS_SAUDE,"40 - 49",M,7
CE,OUTRAS,AMBULANCIA,"40 - 49",F,1
CE,OUTRAS,AMBULANCIA,"40 - 49",M,2
CE,OUTRAS,DOMICILIO,"40 - 49",F,150
CE,OUTRAS,DOMICILIO,"40 - 49",I,1
CE,OUTRAS,DOMICILIO,"40 - 49",M,318
CE,OUTRAS,HOSPITAL,"40 - 49",F,282
CE,OUTRAS,HOSPITAL,"40 - 49",M,446
CE,OUTRAS,IGNORADO,"40 - 49",F,121
CE,OUTRAS,IGNORADO,"40 - 49",I,1
CE,OUTRAS,IGNORADO,"40 - 49",M,359
CE,OUTRAS,OUTRO,"40 - 49",F,17
CE,OUTRAS,OUTRO,"40 - 49",M,68
CE,OUTRAS,OUTROS_SERVICOS_SAUDE,"40 - 49",F,28
CE,OUTRAS,OUTROS_SERVICOS_SAUDE,"40 - 49",M,46
CE,OUTRAS,POSTO_SAUDE,"40 - 49",F,1
CE,OUTRAS,POSTO_SAUDE,"40 - 49",M,2
CE,OUTRAS,VIA_PUBLICA,"40 - 49",F,20
CE,OUTRAS,VIA_PUBLICA,"40 - 49",M,120
CE,COVID,AMBULANCIA,"40 - 49",F,2
CE,COVID,AMBULANCIA,"40 - 49",M,2
CE,COVID,DOMICILIO,"40 - 49",F,6
CE,COVID,DOMICILIO,"40 - 49",M,12
CE,COVID,HOSPITAL,"40 - 49",F,312
CE,COVID,HOSPITAL,"40 - 49",M,542
CE,COVID,IGNORADO,"40 - 49",F,81
CE,COVID,IGNORADO,"40 - 49",M,118
CE,COVID,OUTRO,"40 - 49",F,8
CE,COVID,OUTRO,"40 - 49",M,9
CE,COVID,OUTROS_SERVICOS_SAUDE,"40 - 49",F,26
CE,COVID,OUTROS_SERVICOS_SAUDE,"40 - 49",M,35
CE,COVID,VIA_PUBLICA,"40 - 49",F,2
CE,INDETERMINADA,DOMICILIO,"40 - 49",F,3
CE,INDETERMINADA,DOMICILIO,"40 - 49",M,11
CE,INDETERMINADA,HOSPITAL,"40 - 49",F,2
CE,INDETERMINADA,HOSPITAL,"40 - 49",M,2
CE,INDETERMINADA,IGNORADO,"40 - 49",M,1
CE,INDETERMINADA,OUTRO,"40 - 49",F,1
CE,INDETERMINADA,OUTRO,"40 - 49",M,6
CE,INDETERMINADA,VIA_PUBLICA,"40 - 49",M,1
CE,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"40 - 49",F,14
CE,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"40 - 49",M,14
CE,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"40 - 49",F,71
CE,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"40 - 49",M,64
CE,INSUFICIENCIA_RESPIRATORIA,IGNORADO,"40 - 49",F,26
CE,INSUFICIENCIA_RESPIRATORIA,IGNORADO,"40 - 49",M,23
CE,INSUFICIENCIA_RESPIRATORIA,OUTRO,"40 - 49",F,3
CE,INSUFICIENCIA_RESPIRATORIA,OUTRO,"40 - 49",M,3
CE,INSUFICIENCIA_RESPIRATORIA,OUTROS_SERVICOS_SAUDE,"40 - 49",F,8
CE,INSUFICIENCIA_RESPIRATORIA,OUTROS_SERVICOS_SAUDE,"40 - 49",M,4
CE,PNEUMONIA,DOMICILIO,"40 - 49",F,8
CE,PNEUMONIA,DOMICILIO,"40 - 49",M,7
CE,PNEUMONIA,HOSPITAL,"40 - 49",F,64
CE,PNEUMONIA,HOSPITAL,"40 - 49",M,103
CE,PNEUMONIA,IGNORADO,"40 - 49",F,16
CE,PNEUMONIA,IGNORADO,"40 - 49",M,25
CE,PNEUMONIA,OUTRO,"40 - 49",F,1
CE,PNEUMONIA,OUTRO,"40 - 49",M,2
CE,PNEUMONIA,OUTROS_SERVICOS_SAUDE,"40 - 49",F,5
CE,PNEUMONIA,OUTROS_SERVICOS_SAUDE,"40 - 49",M,6
CE,PNEUMONIA,VIA_PUBLICA,"40 - 49",M,1
CE,SEPTICEMIA,DOMICILIO,"40 - 49",F,5
CE,SEPTICEMIA,DOMICILIO,"40 - 49",M,7
CE,SEPTICEMIA,HOSPITAL,"40 - 49",F,143
CE,SEPTICEMIA,HOSPITAL,"40 - 49",M,184
CE,SEPTICEMIA,IGNORADO,"40 - 49",F,30
CE,SEPTICEMIA,IGNORADO,"40 - 49",M,29
CE,SEPTICEMIA,OUTRO,"40 - 49",F,1
CE,SEPTICEMIA,OUTRO,"40 - 49",M,6
CE,SEPTICEMIA,OUTROS_SERVICOS_SAUDE,"40 - 49",F,13
CE,SEPTICEMIA,OUTROS_SERVICOS_SAUDE,"40 - 49",M,9
CE,SRAG,DOMICILIO,"40 - 49",M,1
CE,SRAG,HOSPITAL,"40 - 49",F,16
CE,SRAG,HOSPITAL,"40 - 49",M,20
CE,SRAG,IGNORADO,"40 - 49",F,2
CE,SRAG,IGNORADO,"40 - 49",M,5
CE,SRAG,OUTROS_SERVICOS_SAUDE,"40 - 49",F,2
DF,OUTRAS,DOMICILIO,"40 - 49",F,35
DF,OUTRAS,DOMICILIO,"40 - 49",M,71
DF,OUTRAS,HOSPITAL,"40 - 49",F,194
DF,OUTRAS,HOSPITAL,"40 - 49",I,2
DF,OUTRAS,HOSPITAL,"40 - 49",M,276
DF,OUTRAS,IGNORADO,"40 - 49",M,1
DF,OUTRAS,OUTRO,"40 - 49",F,9
DF,OUTRAS,OUTRO,"40 - 49",M,33
DF,OUTRAS,OUTROS_SERVICOS_SAUDE,"40 - 49",F,9
DF,OUTRAS,OUTROS_SERVICOS_SAUDE,"40 - 49",M,9
DF,OUTRAS,VIA_PUBLICA,"40 - 49",F,3
DF,OUTRAS,VIA_PUBLICA,"40 - 49",M,29
DF,COVID,DOMICILIO,"40 - 49",F,3
DF,COVID,DOMICILIO,"40 - 49",M,13
DF,COVID,HOSPITAL,"40 - 49",F,237
DF,COVID,HOSPITAL,"40 - 49",M,424
DF,COVID,OUTRO,"40 - 49",F,7
DF,COVID,OUTRO,"40 - 49",M,8
DF,COVID,OUTROS_SERVICOS_SAUDE,"40 - 49",F,4
DF,COVID,OUTROS_SERVICOS_SAUDE,"40 - 49",M,6
DF,COVID,VIA_PUBLICA,"40 - 49",M,2
DF,INDETERMINADA,HOSPITAL,"40 - 49",F,9
DF,INDETERMINADA,HOSPITAL,"40 - 49",M,16
DF,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"40 - 49",F,5
DF,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"40 - 49",M,12
DF,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"40 - 49",F,31
DF,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"40 - 49",M,28
DF,INSUFICIENCIA_RESPIRATORIA,OUTRO,"40 - 49",M,3
DF,INSUFICIENCIA_RESPIRATORIA,OUTROS_SERVICOS_SAUDE,"40 - 49",F,2
DF,INSUFICIENCIA_RESPIRATORIA,OUTROS_SERVICOS_SAUDE,"40 - 49",M,2
DF,INSUFICIENCIA_RESPIRATORIA,VIA_PUBLICA,"40 - 49",F,1
DF,INSUFICIENCIA_RESPIRATORIA,VIA_PUBLICA,"40 - 49",M,3
DF,PNEUMONIA,DOMICILIO,"40 - 49",F,1
DF,PNEUMONIA,DOMICILIO,"40 - 49",M,1
DF,PNEUMONIA,HOSPITAL,"40 - 49",F,37
DF,PNEUMONIA,HOSPITAL,"40 - 49",M,90
DF,PNEUMONIA,OUTRO,"40 - 49",F,1
DF,PNEUMONIA,OUTRO,"40 - 49",M,3
DF,PNEUMONIA,OUTROS_SERVICOS_SAUDE,"40 - 49",F,1
DF,PNEUMONIA,OUTROS_SERVICOS_SAUDE,"40 - 49",M,1
DF,SEPTICEMIA,DOMICILIO,"40 - 49",F,2
DF,SEPTICEMIA,DOMICILIO,"40 - 49",M,2
DF,SEPTICEMIA,HOSPITAL,"40 - 49",F,64
DF,SEPTICEMIA,HOSPITAL,"40 - 49",M,76
DF,SEPTICEMIA,OUTRO,"40 - 49",F,3
DF,SEPTICEMIA,OUTROS_SERVICOS_SAUDE,"40 - 49",F,1
DF,SEPTICEMIA,OUTROS_SERVICOS_SAUDE,"40 - 49",M,2
DF,SRAG,HOSPITAL,"40 - 49",F,2
DF,SRAG,HOSPITAL,"40 - 49",M,8
ES,OUTRAS,DOMICILIO,"40 - 49",F,69
ES,OUTRAS,DOMICILIO,"40 - 49",M,163
ES,OUTRAS,HOSPITAL,"40 - 49",F,254
ES,OUTRAS,HOSPITAL,"40 - 49",I,1
ES,OUTRAS,HOSPITAL,"40 - 49",M,263
ES,OUTRAS,IGNORADO,"40 - 49",F,1
ES,OUTRAS,IGNORADO,"40 - 49",M,4
ES,OUTRAS,OUTRO,"40 - 49",F,13
ES,OUTRAS,OUTRO,"40 - 49",M,54
ES,OUTRAS,OUTROS_SERVICOS_SAUDE,"40 - 49",F,29
ES,OUTRAS,OUTROS_SERVICOS_SAUDE,"40 - 49",M,28
ES,OUTRAS,VIA_PUBLICA,"40 - 49",F,8
ES,OUTRAS,VIA_PUBLICA,"40 - 49",M,70
ES,COVID,DOMICILIO,"40 - 49",F,4
ES,COVID,DOMICILIO,"40 - 49",M,5
ES,COVID,HOSPITAL,"40 - 49",F,247
ES,COVID,HOSPITAL,"40 - 49",M,361
ES,COVID,OUTRO,"40 - 49",F,2
ES,COVID,OUTROS_SERVICOS_SAUDE,"40 - 49",F,6
ES,COVID,OUTROS_SERVICOS_SAUDE,"40 - 49",M,8
ES,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"40 - 49",F,10
ES,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"40 - 49",M,7
ES,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"40 - 49",F,27
ES,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"40 - 49",M,33
ES,INSUFICIENCIA_RESPIRATORIA,OUTROS_SERVICOS_SAUDE,"40 - 49",F,1
ES,INSUFICIENCIA_RESPIRATORIA,OUTROS_SERVICOS_SAUDE,"40 - 49",M,2
ES,PNEUMONIA,DOMICILIO,"40 - 49",F,2
ES,PNEUMONIA,DOMICILIO,"40 - 49",M,9
